"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",189,-0.578000448925977,-1.93965947132294,3.03845599552367e-08,9.92283000827091e-07,6.68485390030882e-07,3478,"tags=39%, list=16%, signal=33%","Mybbp1a/Egr3/Ovol2/Slc22a5/Fkbp5/Rbbp8/Asb13/Slc7a2/Endod1/Rrp12/Tiparp/Hspb8/Hes1/Npy1r/P2ry2/Frk/Klf10/Kazn/Tob1/Slc24a3/Tbc1d30/Ugcg/Bag1/Stc2/Ncor2/Chpt1/Pmaip1/Isg20l2/Siah2/Myof/Dhrs2/Mast4/Rara/Myb/Rasgrp1/Rhod/Tsku/Tgm2/Nxt1/Reep1/Dhcr7/Zfp185/Ret/Tfap2c/Areg/Celsr2/Klf4/Mlph/Slc37a1/Inhbb/Tubb2b/Lrig1/Papss2/Gfra1/Gja1/Anxa9/Mybl1/Bcl11b/Celsr1/Greb1/Esrp2/Fos/Rapgefl1/Muc1/Tjp3/Cldn7/Lad1/Clic3/Sfn/Elf3/Krt19/Krt15/Krt13/Aqp3"
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",192,-0.570250671686946,-1.9145955632165,3.96913200330836e-08,9.92283000827091e-07,6.68485390030882e-07,2495,"tags=23%, list=11%, signal=20%","Vcl/Cdh1/Itga10/Stx4a/Actg1/Adra1b/Myh10/Hras/Vav2/Cldn8/Tial1/Fbn1/Lama3/Cldn11/Jup/Wnk4/Actg2/Mapk13/Pard6g/Actn4/Mapk11/Atp1a3/Adamts5/Acta1/Nectin3/Tgfbi/Grb7/Itgb4/Nectin1/Cntn1/Lamb3/Lamc2/Nectin4/Slit2/Cldn19/Cldn7/Vcan/Actc1/Col9a1/Mpzl2/Actn3/Dsc3/Cldn4/Col17a1"
"HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN",162,-0.549216242628747,-1.81365342835403,7.09050535948622e-06,0.00011817508932477,7.96126917556348e-05,3061,"tags=30%, list=14%, signal=26%","Slc12a3/Asb7/Cpeb3/Zbtb16/Pdk2/Stag3/Grid2/Htr1b/Vps50/Pde6b/Cacna1f/Cyp39a1/Gprc5c/Cldn8/Ypel1/Sstr4/Smpx/Mast3/Bmpr1b/Btg2/Cd80/Tenm2/Nphs1/Chst2/Ryr1/Itgb1bp2/Lgals7/Camk1d/Celsr2/Ntf3/Epha5/Tgfb2/Igfbp2/P2rx6/Tfap2b/Tfcp2l1/Efhd1/Tgm1/Wnt16/Col2a1/Ckm/Lypd3/Krt4/Actc1/Slc6a14/Pkp1/Krt15/Krt13/Krt5"
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",183,-0.523692130372928,-1.7506331398674,2.79529999340657e-05,0.000279529999340657,0.000188314946924232,3652,"tags=34%, list=17%, signal=29%","Rnaseh2a/Cdc6/Cxcl12/Tspan13/Egr3/Ovol2/Slc22a5/Fkbp5/Rbbp8/Dnajc12/Cox6c/Hspb8/Npy1r/Frk/Tob1/Slc24a3/Bag1/Ncor2/Klk11/Cdh1/Chpt1/Chst8/Plxnb1/Gins2/Siah2/Dlg5/Pdcd4/Myof/Dhrs2/Cxcl14/Cdc20/Myb/Agr2/Batf/Nxt1/Mapk13/Dhcr7/Top2a/Ret/Tfap2c/Areg/Ltf/Celsr2/Pcp4/Klf4/Tst/Homer2/Papss2/Tpsb2/Anxa9/Gjb3/Perp/Lamc2/Fos/Rapgefl1/Tjp3/St14/Pkp3/Clic3/Sfn/Krt19/Trim29/Krt13"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",191,-0.510593743932846,-1.71428356555593,2.59312590379936e-05,0.000279529999340657,0.000188314946924232,3909,"tags=36%, list=18%, signal=30%","Slc2a3/Ptger4/Cd44/Mcl1/Ier5/Il18/Rcan1/Egr3/Edn1/Nfe2l2/Lif/Ccrl2/Tiparp/Ifngr2/Hes1/Fjx1/Klf10/Jun/Ptpre/Maff/Il1b/Bcl3/Tsc22d1/Bmp2/Ccn1/Kdm6b/Clcf1/Socs3/Tnfsf9/Phlda1/Msc/Cd83/Sat1/Tnf/Birc3/Nr4a1/Map2k3/Trib1/Irf1/Per1/Cxcl5/Btg2/Cd80/Relb/Fosl2/Eif1/Il1a/Rel/Gfpt2/Nr4a3/Dusp1/Atf3/Areg/Ier3/Klf4/Tnfaip8/Gem/Ldlr/Egr1/Dusp5/F2rl1/Hbegf/Junb/Fosb/Lamb3/Serpine1/Fos/Serpinb8"
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY",197,-0.508034997210014,-1.71143727367702,6.43738894719587e-05,0.000536449078932989,0.00036139727422854,3711,"tags=30%, list=17%, signal=25%","Jag2/Ier5/Mdm2/Fam162a/Ankra2/Rps27l/Ifi30/Rpl36/Rpl18/Ccng1/Lif/Triap1/Zbtb16/Slc35d1/Rab40c/Tob1/Jun/Ptpre/Traf4/Ccnd2/Tsc22d1/Bmp2/Procr/App/Casp1/Cdh13/Pidd1/Hras/Tnfsf9/Tchh/Mknk2/Sat1/Dgka/Ak1/Btg2/Il1a/Cdkn2b/Atf3/Cebpa/Ier3/Eps8l2/Klf4/Tprkb/S100a4/Vdr/Inhbb/S100a10/Hbegf/Upp1/Itgb4/Perp/Fos/Sdc1/Krt17/Slc7a11/Trp63/St14/Sfn/Serpinb5"
"HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM",178,-0.482144836969031,-1.61158113271534,0.00035885024983044,0.00256321607021743,0.0017267981946728,1300,"tags=18%, list=6%, signal=17%","Cfb/Gstm4/Asl/Upb1/Hes6/Pts/Esr1/Jup/Hsd17b2/Pgd/Il1r1/Fbln1/Igf1/Tgfb2/Slc6a6/Rap1gap/Gckr/Dhrs1/Cyp1a1/Papss2/Sar1b/Slc6a12/Upp1/Serpine1/Arg1/Cdo1/Ces1d/Ptgr1/Acsm1/Aldh3a1/Gsto1/Adh7"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",193,-0.464927152135369,-1.56303098652434,0.000656229144587745,0.00410143215367341,0.00276307008247472,5956,"tags=44%, list=27%, signal=32%","Incenp/Dkc1/Tfdp1/Abl1/Cdkn3/Casp8ap2/Smc2/Ncl/Cdk4/Katna1/Jpt1/Rpa2/Atf5/Birc5/Cul1/Marcks/E2f1/Lbr/Nek2/Cdc25b/Ndc80/Slc7a1/Syncrip/Ctcf/Cdc7/Srsf2/Chmp1a/Hmmr/Pml/Top1/Map3k20/Upf1/Cenpf/Ccnb2/Smc4/Cdc6/Hnrnpd/Cdc25a/Nusap1/Tacc3/Lmnb1/Srsf10/H2ax/Orc5/Rad21/Tle3/Prc1/Ythdc1/Ube2c/Ccna2/Meis2/Cks2/Bcl3/Kif11/Chaf1a/Cenpe/Tnpo2/Kif20b/Rbl1/Gins2/Ezh2/Tpx2/Mtf2/Mcm5/Kif5b/Cdc20/Rad54l/Dr1/Kif4/Fbxo5/Kmt5a/Top2a/Racgap1/H2az1/Mki67/Meis1/Mcm2/Sqle/Efna5/Aurkb/Kif15/Hmgb3/H2bc12/Kif23"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS",69,-0.57373775342673,-1.74006671516626,0.00150537147368839,0.00836317485382438,0.00563413884889221,2279,"tags=30%, list=10%, signal=27%","Antxr2/Actg1/Idi1/Srebf2/Stard4/Cyp51/Acat2/Fdps/Tnfrsf12a/Lss/Dhcr7/Aldoc/Atf3/Alcam/S100a11/Sqle/Hmgcs1/Ldlr/Lpl/Lgals3/Mal2"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",192,-0.452733637898165,-1.52003646374404,0.00227103827679232,0.0113551913839616,0.00764981314287941,4043,"tags=30%, list=18%, signal=25%","P2rx4/Arl4a/Slc2a3/Ifitm3/Sh3bgrl2/Cd44/Tnfrsf4/Ecm1/Ncs1/Cdc6/Glipr2/Anxa4/Tnfrsf1b/Rnh1/Syngr2/Pou2f1/Ahnak/Il2rb/Ahr/Mapkapk2/Lif/Il1rl1/Pth1r/Pdcd2l/Maff/Ccnd2/Pim1/Il10ra/Bmp2/Penk/Spp1/Spred2/Eef1akmt1/Slc39a8/Fgl2/Eno3/Phlda1/Cd83/Plec/Batf/Tgm2/Il18r1/Amacr/Alcam/Itih5/Ccne1/Capn3/Lrig1/Nfkbiz/Ikzf2/Emp1/Capg/Tnfrsf21/Muc1/Hopx/Cdcp1/Irf6/Gsto1"
"HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS",34,-0.633491845029873,-1.71149533277483,0.00605878721933146,0.0216385257833267,0.0145775331592937,2694,"tags=38%, list=12%, signal=34%","Ccnd2/Spp1/App/Postn/Vav2/Cxcl5/Msx1/Stc1/S100a4/Lpl/Tnfrsf21/Vcan/Pglyrp1"
"HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP",152,-0.460790527729779,-1.51846970030189,0.00593390744797702,0.0216385257833267,0.0145775331592937,3346,"tags=26%, list=15%, signal=22%","H2ax/Fgf18/Gls/Prkcd/Ppp1r2/Lyn/E2f5/Bmp2/Wiz/Lhx2/Dnajb1/Tchh/Bid/Rasgrp1/Nr4a1/Irf1/Btg2/Msx1/Cnp/Mapk8ip2/Slc6a8/Cdkn2b/Atf3/Ret/Ccne1/Nat2/Tst/Igfbp2/Cyp1a1/Tacr3/Epcam/Gpx3/Slc6a12/Junb/Fosb/Fos/Col2a1/Cdo1/Aqp3"
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",198,-0.435986667790448,-1.46853302386248,0.00604696341716256,0.0216385257833267,0.0145775331592937,2241,"tags=24%, list=10%, signal=22%","Ppp1r3c/App/Cdh13/Pdlim7/Tpm2/Fabp3/Myh11/Sod3/Cox6a2/Eno3/Schip1/Fdps/Agrn/Ak1/Myom2/Ryr1/Chrnb1/Reep1/Tagln/Slc6a8/Sh3bgr/Sgcg/Tnnt2/Myh8/Igf1/Pygm/Kcnh1/Cox7a1/Atp2a1/Sgca/Myl1/Tnnt3/Acta1/Klf5/Tnni2/Gpx3/Hbegf/Itgb4/Mylpf/Casq1/Tnnc2/Mybph/Myoz1/Ckm/Actc1/Pvalb/Actn3/Myh4"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",196,-0.43211757657714,-1.45479936696059,0.00589091494199381,0.0216385257833267,0.0145775331592937,5461,"tags=37%, list=25%, signal=28%","Cdk4/Rad50/Jpt1/Lsm8/Dek/Pole4/Rpa2/Birc5/Phf5a/Cdca8/Lbr/Cdc25b/Tbrg4/Syncrip/Ctcf/Dctpp1/Srsf2/Ncapd2/Hmmr/Wdr90/Nbn/Ccnb2/Smc4/Rnaseh2a/Kif18b/Hnrnpd/Cdc25a/Gins1/Wee1/Tacc3/Lmnb1/Mthfd2/H2ax/Rad21/Gins4/Slbp/Tcf19/E2f8/Rad1/Cks2/Pms2/Cenpe/Melk/Usp1/Smc6/Ezh2/Mcm7/Atad2/Donson/Ube2t/Mcm5/Mms22l/Cdc20/Rfc2/Kif4/Asf1a/Diaph3/Hmgb2/Ung/Top2a/Racgap1/Rrm2/H2az1/Mki67/Ccne1/Trip13/Mcm2/Aurkb/Hmgb3/Spag5/Tk1/Cit/Shmt1"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",190,-0.419586387562292,-1.40817743019089,0.0145364120618034,0.0454262876931355,0.0306029727616913,5080,"tags=38%, list=23%, signal=29%","Mafb/Hdac9/Ptcd2/Prrx1/Ptbp2/Clec4a3/Mycn/Rgs16/Plat/Plau/Kcnn4/Itgb2/Laptm5/Adgra2/Map3k1/Tmem176a/Scg5/Prdm1/Tph1/Gpnmb/Mmp9/Lat2/Btbd3/Scn1b/Sox9/Rbp4/Tspan13/Tnfrsf1b/Lif/Ephb2/Cab39l/Apod/Ccnd2/Fbxo4/Il10ra/Il1b/Bmp2/Prkg2/Cfb/Spp1/Cidea/Tmem158/Tmem100/Birc3/Trib1/Ly96/Jup/Il1rl2/Plek2/Gfpt2/Gng11/Tnnt2/F13a1/Pcp4/Klf4/Adamdec1/Nr1h4/Psmb8/Pigr/Tspan1/Mall/F2rl1/Hbegf/Galnt3/Ereg/Aldh1a3/Emp1/Kif5c/Reln/Arg1/Il33/Mpzl2"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",193,-0.412853793032874,-1.38796641248133,0.0139914808598607,0.0454262876931355,0.0306029727616913,2518,"tags=23%, list=11%, signal=20%","Tgfbr3/Ccn1/Fbln2/Sgcb/Sntb1/Spp1/Itga5/Tpm2/Mcm7/Postn/Tpm1/Sfrp1/Grem1/Tnfrsf12a/Sat1/Nnmt/Fbn1/Tgm2/Lama3/Cxcl5/Msx1/Gm21451/Tagln/Oxtr/Slc6a8/Sgcg/Crlf1/Fbln1/Pdlim4/Areg/Dkk1/Igfbp2/Tgfbi/Cadm1/Gem/Gja1/Lamc2/Capg/Serpine1/Matn3/Slit2/Col7a1/Sdc1/Vcan"
